alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,Top_Itr,Bot_Itr
0.000,0.0000,0.00605,0.00058,-0.0000,0.6310,0.631023.0323,137.9677
1.000,0.1087,0.00609,0.00061,0.0011,0.5458,0.715427.7711,142.6412
2.000,0.2172,0.00630,0.00072,0.0022,0.4611,0.795332.5258,147.0686
3.000,0.3248,0.00669,0.00091,0.0035,0.3763,0.865237.3405,150.9556
4.000,0.4307,0.00732,0.00119,0.0053,0.2928,0.919742.1864,154.0636
6.000,0.6541,0.00931,0.00208,0.0055,0.1450,0.981051.4214,158.1363
7.000,0.7895,0.01059,0.00272,-0.0001,0.0946,0.990755.3420,158.9608
8.000,0.9268,0.01191,0.00345,-0.0064,0.0650,0.997058.4198,159.6650
9.000,1.0287,0.01317,0.00415,-0.0054,0.0502,1.000060.4690,160.0000
10.000,1.0989,0.01454,0.00487,0.0022,0.0414,1.000061.9339,160.0000
11.000,1.1728,0.01607,0.00572,0.0086,0.0354,1.000063.1064,160.0000
12.000,1.2475,0.01798,0.00682,0.0141,0.0309,1.000064.1007,160.0000
13.000,1.3080,0.02029,0.00813,0.0212,0.0275,1.000064.9299,160.0000
14.000,1.3613,0.02322,0.00990,0.0275,0.0252,1.000065.5307,160.0000
15.000,1.3935,0.02837,0.01324,0.0327,0.0231,1.000066.0924,160.0000
16.000,1.4222,0.03521,0.01797,0.0344,0.0217,1.000066.5319,160.0000
17.000,1.4154,0.04756,0.02719,0.0319,0.0205,1.000066.8777,160.0000
18.000,1.3726,0.06641,0.04240,0.0246,0.0198,1.000067.0836,160.0000
19.000,1.3155,0.08908,0.06202,0.0144,0.0194,1.000067.2350,160.0000
20.000,1.2502,0.11440,0.08629,0.0021,0.0189,1.000067.3967,160.0000
21.000,1.1999,0.13858,0.11324,-0.0110,0.0182,1.000067.6096,160.0000
22.000,1.1686,0.16027,0.14178,-0.0245,0.0174,1.000067.8814,160.0000
23.000,1.1400,0.18270,0.17699,-0.0398,0.0167,1.000068.1364,160.0000
